"id_vendedor","nombre_completo_vendedor","email_vendedor","telefono_vendedor","cantidad_ventas","ventas_totales"
1,"Dee dee Emanuele","ddee1@pinterest.com","(861) 5545999",23,4292.91
2,"Woodman Wickrath","wwickrath3@ow.ly","(114) 5909774",6,7590.07
3,"Siward Elgee","selgee4@amazon.co.uk","(619) 3916737",28,2841.88
4,"Biron Sallan","bsallan5@boston.com","(452) 2983359",14,1393.62
5,"Adelaide Crotty","acrotty7@hibu.com","(913) 9924903",26,9868.53
6,"Gerty Dulin","gdulin8@mac.com","(257) 5119957",26,7185.42
7,"Vernen Mattaus","vmattaus9@umn.edu","(878) 5184194",42,5048.98
8,"Keir Ertelt","kerteltb@ihg.com","(531) 2933268",5,9760.04
9,"Taffy Carne","tcarnec@vk.com","(356) 8216313",20,1870.01
10,"Glenine Haughian","ghaughiand@go.com","(810) 4163063",47,2489.28
11,"Damara Keig","dkeigi@un.org","(302) 5774215",22,8807.25
12,"Consalve Eardley","ceardleyj@digg.com","(456) 7599532",40,270.68
