"id_cliente","nombre_completo_cliente","email_cliente","telefono_cliente"
1,"Karena Fricker","kfricker0@wufoo.com","835-822-3762"
2,"Ulrike Ower","uower1@pen.io","772-790-1468"
3,"Berkie Fanti","bfanti3@irs.gov","872-273-5872"
4,"Oswell Myford","omyford4@mlb.com","834-366-8162"
5,"Cristin Care","ccare5@loc.gov","368-924-6458"
6,"Lorna Kurton","lkurton6@psu.edu","751-295-6007"
7,"Erick Coundley","ecoundley7@google.de","105-488-7310"
8,"Eli Taplow","etaplowa@diigo.com","360-671-2846"
9,"Kippy Kiehl","kkiehlb@nymag.com","347-818-9830"
10,"Gabbey Barff","gbarffc@fema.gov","700-145-3993"
11,"Wenda Carncross","wcarncrossd@goo.gl","761-429-9754"
12,"Samaria Callf","scallfe@slate.com","951-846-2521"
13,"Faina Bice","fbiceg@desdev.cn","691-983-6464"
14,"Abbott Rivard","arivardh@google.com","833-470-4668"
15,"Ianthe Oehm","ioehmj@mashable.com","422-565-1741"
